,track_id,danceability,energy,key,loudness,mode,valence,tempo,time_signature,era,era_encode
4013,1OAvQj8M9m8OFvojsayU6B,0.525,0.2,6.0,-18.487,0.0,0.633,127.172,4.0,baroque,0.0
4014,7x0o5UkUUL9GbOnM3qKSzY,0.431,0.236,1.0,-18.667,1.0,0.524,138.599,3.0,baroque,0.0
4015,32MfZtu4YlzbmGQP65DEPD,0.478,0.0601,10.0,-24.154,0.0,0.559,97.488,1.0,baroque,0.0
4016,0Mt12fnOEr2iXncaHkecti,0.584,0.208,11.0,-22.517,1.0,0.962,124.88,4.0,baroque,0.0
4017,2nXYUR51d8LVVL9HGhnqnA,0.172,0.0565,10.0,-24.517,1.0,0.0706,81.064,4.0,baroque,0.0
4018,4k2FaqRWOhDZRwpoAsEXvL,0.297,0.0337,2.0,-24.489,1.0,0.282,72.148,4.0,baroque,0.0
4019,5Qs7lCb7SDlfS6Nxy8cSam,0.527,0.163,11.0,-17.898,0.0,0.716,73.016,4.0,baroque,0.0
4020,1QLXHHtOxyc8nSH6dPzDwN,0.537,0.238,7.0,-15.231,1.0,0.734,135.289,4.0,baroque,0.0
4021,4h07yJMVqOoqAazB00vuI3,0.488,0.227,4.0,-17.377,1.0,0.615,110.448,4.0,baroque,0.0
4022,6Tixm3jKSqTRUBYdX7VXYZ,0.407,0.0142,0.0,-28.434,0.0,0.166,94.985,4.0,baroque,0.0
4023,0XLIyWhnt6qPWWowwIeDER,0.399,0.231,6.0,-16.328,0.0,0.458,124.165,4.0,baroque,0.0
4024,5D2DCYFPF1JBkU6f2OMxu7,0.218,0.0186,7.0,-30.117,1.0,0.0845,108.945,4.0,baroque,0.0
4025,5Vn9UfthKctzDpNgEjO9aS,0.504,0.0748,7.0,-21.194,1.0,0.528,132.305,4.0,baroque,0.0
4026,16dQcVyWKO2ncCMwwDO9mQ,0.409,0.235,8.0,-16.653,1.0,0.688,144.664,3.0,baroque,0.0
4027,1AHBOA6ctIiWQCQpgqPxsd,0.264,0.0979,6.0,-20.105,0.0,0.143,82.066,4.0,baroque,0.0
4028,15IkzXQ7LBRtPuiP3uEWTS,0.0806,0.00268,8.0,-40.643,1.0,0.0315,170.001,4.0,baroque,0.0
4029,5YKTYjxVWvfZYcwi0KPoOh,0.211,0.132,9.0,-25.02,1.0,0.0325,112.46,4.0,baroque,0.0
4030,4rkKdJBL8ZBKfo9F7PupIT,0.336,0.0377,1.0,-25.018,0.0,0.156,104.263,3.0,baroque,0.0
4031,79eCXjhghvpwWTbNQmZDgS,0.218,0.0516,5.0,-27.111,1.0,0.17,71.954,4.0,baroque,0.0
4032,5Lc81eq97nUTDsBuYf8FFm,0.224,0.0126,11.0,-33.578,0.0,0.0333,69.019,3.0,baroque,0.0
4033,0I6Dqeai759jcuO4ulEaPt,0.448,0.116,7.0,-19.351,0.0,0.385,120.287,4.0,baroque,0.0
4034,2M9MNTKULBt1Fxyzd6SxrD,0.558,0.237,5.0,-21.127,1.0,0.737,107.084,4.0,baroque,0.0
4035,14Y6VKH1Y3KNNC5wP2PX4l,0.227,0.0526,2.0,-24.505,1.0,0.0394,71.237,4.0,baroque,0.0
4036,1mpRziZ8KicMvZnkwCHd0u,0.658,0.00643,1.0,-21.311,1.0,0.197,74.991,4.0,baroque,0.0
4037,1U01PCu0ObmIGoNigi9Mjo,0.396,0.092,9.0,-23.268,1.0,0.324,56.649,4.0,baroque,0.0
4038,7i14QrSHcTy7QHvaI2bbi7,0.333,0.0979,7.0,-19.477,0.0,0.283,102.69,4.0,baroque,0.0
4039,4AtQqGGhJG2Isv3AICbat0,0.541,0.245,8.0,-16.23,1.0,0.513,93.06,4.0,baroque,0.0
4040,0j0kasXWNPhTdv9Eozffhw,0.208,0.0764,0.0,-20.24,1.0,0.066,75.223,4.0,baroque,0.0
